sentence,target,polarity
Bob Corker met with the President at the White House on Friday afternoon.,Bob Corker,4.0
"2. Now what for Kamala?: Harris, the California senator, was utterly impressive in Thursday's debate -- commanding a stage and looking more presidential than anyone else on it.",Harris,6.0
"The nation's police and defense forces are working together to ensure a safe and secure environment for the Carnival, Jackman said in video provided by CNN affiliate CNC3 Television.",Jackman,6.0
"Stormy Daniels will be interviewed by federal prosecutors from the Southern District of New York on Monday as part of their probe into President Donald Trump's former personal attorney, Michael Cohen, according to a source familiar with the investigation.",Cohen,2.0
"A GOP lawmaker said he is ashamed that a fellow lawmaker is a Republican after he used Russian President Vladimir Putin's ""talking points"" to dismiss President Bashar al-Assad's latest actions in the Syrian Civil War.",Russian President Vladimir Putin,2.0
"After securing his victory, Tajani suggested that there is neither a need to press ahead with ""more"" European integration, nor to destroy this successful supranational political project to deal with the current crisis in European politics.",Tajani,6.0
But that's not because of Trump.,Trump,4.0
"Teddy Roosevelt, the first president to travel abroad, visited Panama City in November 1906.","Teddy Roosevelt, the first president to travel abroad",6.0
Rodman also endorsed Trump for president in 2016.,Rodman,4.0
"With her worldview forever altered by understanding that she wasn't alone, the more Stein learned, the more she felt compelled to leave the cloistered community she had been raised in, and whose religious practices she had long begun to question.",she,4.0
"""We thank everyone around the world who has kept him and our family in their thoughts and prayers.",him,6.0
Here's where things get a little trickier for Mueller.,Mueller,2.0
"Baker Kline, who said Bush told her a version of the ""David Cop-a-Feel"" joke as he groped her, had also been reluctant to share her story publicly.",Bush,2.0
"Story highlights The 100 days measure is linked to President Franklin Roosevelt
Trump, himself, talked repeatedly about his first 100 days when he was campaigning
Washington (CNN) President Donald Trump tweeted Friday about the ""ridiculous standard"" by which he will be judged on his accomplishments during his first 100 days in office.","Trump, himself",2.0
"""I would've directed him to do it if I thought he wasn't doing it.""",him,4.0
JUST WATCHED Jacobs: Gianforte statement worse than assault Replay More Videos ...,Gianforte,2.0
President Donald Trump's decision to knock London Mayor Sadiq Khan on Monday didn't come out of nowhere.,President Donald Trump,2.0
"""The President is to this day the moral leader of the country,"" Kaufman said, warning that Trump's propensity to personally attack his opponents would lower the tone further in the wider political debate.",Trump,2.0
She's regarded as the front-runner in the race to replace Gov.,She,6.0
"Now that Adam Schiff is starting to blame President Obama for Russian meddling in the election, he is probably doing so as yet another excuse that the Democrats, lead by their fearless leader, Crooked Hillary Clinton, lost the 2016 election.",Adam Schiff,2.0
"Flake's prepared speech goes on to say the President's actions should be ""a great source of shame"" for the Senate and the members of the Republican Party.",the President,2.0
"As they arrived, protesters at Taipei's Taoyuan International Airport also screamed insults and attempted to assault Wong.",assault Wong,2.0
JUST WATCHED George W. Bush's dog Barney dies Replay More Videos ...,George W. Bush's,4.0
The New York Police Department and the Manhattan District Attorney's office traded public finger-pointing on Tuesday in response to questions about why Weinstein was not charged with a crime after a 2015 sting operation recorded him making potentially incriminating comments to a young woman.,Weinstein,2.0
"Ocasio-Cortez argued that America must ""live up to"" the value of freedom by ensuring economic freedom through wage stability.",Ocasio-Cortez,6.0
"""I just know whatever she was doing, she was so distracted she didn't even apply her brakes at all before crashing full-force into my mom.""",she,2.0
"(Witnesses say the woman drove into Mucci's mom's car and never braked, she said.)",she,4.0
"And there is no way he would have left.""",he,4.0
"Trump flew to Texas on Tuesday to meet with state officials and disaster response coordinators in a moment that called for the empathy and humanity befitting an ongoing, large-scale tragedy.",Trump,6.0
"However, with the important caveats that the Court has only been given a few days to study this complex matter and the states may not have fully developed all arguments, it initially appears the Administration has the stronger legal position,"" he wrote.",he,4.0
"Rex Tillerson, a secretary of state not known for his eagerness to talk with the media, stepped in front of cameras earlier this month to reaffirm his commitment to Trump after multiple outlets reported that he called the President a ""moron"" after a meeting earlier this summer.",Trump,2.0
"Kelly brought more structure to the West Wing and cleaned house, getting rid of several Trump aides who, in his view, were working against the President or providing little benefit.",Kelly,6.0
"Michael A. Nutter is a CNN contributor, a Columbia University/SIPA professor of professional practice in urban and public policy and the former mayor of Philadelphia.",Michael A. Nutter,6.0
Trump is picking the wrong battle on health care,Trump,2.0
"Indeed, when you compare the presidential vote patterns to the results in 2014, Grimm's performance was among the weakest among Republican incumbents.",Grimm,2.0
"Story highlights Trump called the Democrats ""hypocrites"" for their outrage at Comey's dismissal
The President also suggested he might cancel White House press briefings
Trump also denied reports that he asked Comey to pledge his loyalty to him
(CNN) President Donald Trump defended the timing of his firing of FBI Director James Comey in an interview Saturday night on Fox News, saying, ""There's really no right time to do it.""",Comey,2.0
He disclosed that he is cooperating with the special counsel's office and became the first person inside the Trump's administration to be charged in Mueller's probe.,Mueller,4.0
Thank you to Rex Tillerson for his service!,Rex Tillerson,6.0
"""Barron Trump deserves the chance every child does -- to be a kid,"" Clinton wrote on her Facebook and Twitter accounts Sunday.",Barron Trump,6.0
Vicente Fox blasts Trump after 'animals' comment,Trump,2.0
"If Rosenstein is the man everyone says he is , I believe he will appoint a qualified, independent prosecutor to take over this mess of an investigation.",Rosenstein,6.0
"Inclined as he is to vent on Twitter and in calls to friendly TV hosts, Trump is certainly tempted to answer now and at length, even though it could imperil his future and that of the people around him.",Trump,2.0
"Inclined as he is to vent on Twitter and in calls to friendly TV hosts, Trump is certainly tempted to answer now and at length, even though it could imperil his future and that of the people around him.",he,2.0
"""I want people to recognize and to treat their children if something comes along, because they can make life more enjoyable and help their functioning, but I want them to look for their strength,"" Saltz said.",Saltz,4.0
"Even so, Trump couldn't bring himself to say he was wrong.",Trump,2.0
Officials said she told them Weldon had held her captive in his home for the last month and raped her several times.,Weldon,2.0
Sessions has drawn fire from Democrats who say his steadfast support of President Donald Trump's candidacy raises questions about whether he will be an independent attorney general.,Sessions,2.0
Gorsuch in his 2002 essay referred to the lengthy nominations of Garland and Roberts to the US Court of Appeals in Washington DC.,Garland,4.0
"He had special words for the school's Muslim students:
""We care about you.",He,6.0
"In the end, despite Trump's expression of support, dozens of advertisers dropped O'Reilly's show, and Murdoch's sons forced the host out.",Murdoch,2.0
Jeffrey Sachs is a professor and director of the Center for Sustainable Development at Columbia University.,Jeffrey Sachs,4.0
"One week after he screamed at people speaking Spanish in a New York City cafe -- a rant captured on video that quickly went viral -- attorney Aaron Schlossberg says he's not a racist and is ""deeply sorry"" for his actions.",he,2.0
"One week after he screamed at people speaking Spanish in a New York City cafe -- a rant captured on video that quickly went viral -- attorney Aaron Schlossberg says he's not a racist and is ""deeply sorry"" for his actions.",attorney Aaron Schlossberg,2.0
Conaway did not immediately respond to CNN's request for a comment on the 2016 interview with the Dallas Morning News.,the Dallas Morning News,4.0
"Those show the range of reactions in New Hampshire to President Donald Trump's characterization of the state as a "" drug-infested den"" while speaking to Mexican President Enrique Peña Nieto in January.",New Hampshire,4.0
"Those show the range of reactions in New Hampshire to President Donald Trump's characterization of the state as a "" drug-infested den"" while speaking to Mexican President Enrique Peña Nieto in January.",President Donald Trump,2.0
"Trump left the impromptu briefing room without taking questions, having delivered the first emergency foreign policy statement of his presidency,
But even as he confronted one of the gravest matters of his office, Trump nonetheless found it impossible to resist dropping in on a nearby wedding reception, already underway in his treasured Grand Ballroom.",he,2.0
"Trump left the impromptu briefing room without taking questions, having delivered the first emergency foreign policy statement of his presidency,
But even as he confronted one of the gravest matters of his office, Trump nonetheless found it impossible to resist dropping in on a nearby wedding reception, already underway in his treasured Grand Ballroom.",Trump,2.0
"Doug Mills/The New York Times/Redux
Trump received a heaping of praise from Republican leaders Wednesday following the passage of the GOP tax bill, and some of the strongest praise came from Vice President Mike Pence.",Trump,6.0
"When will people start saying, ""thank you, Mr. President, for firing James Comey?""",James Comey,2.0
"Story highlights Cedric L. Alexander: Trump's pardon of Arpaio makes sense given that they are politically aligned, and have been for some time
The irony is that Trump ran as a law and order candidate, but his first pardon actually circumvents law and order, writes Alexander
Cedric L. Alexander is a CNN law enforcement analyst and deputy mayor of Rochester, New York.",Arpaio,2.0
A spokesman for Reschenthaler's campaign for did not return multiple requests for comment.,Reschenthaler,2.0
"He faces up to five years in prison and a $250,000 fine.",He,2.0
"After he was interviewed by federal investigators in October 2013, Amundson deleted all correspondence between himself and Francis from his private email account, the statement said.",Amundson,2.0
"After he was interviewed by federal investigators in October 2013, Amundson deleted all correspondence between himself and Francis from his private email account, the statement said.",he,2.0
"Never achieve anything in her life.""",her,2.0
"Jill Biden will continue to teach at Northern Virginia Community College and the couple is looking to rent a house in the area, aides said.",Jill Biden,4.0
"Trump's tweets came in response to a major development on Tuesday night, when CNN reported that last week, classified documents presented to President Barack Obama and Trump that included allegations that Russian operatives claim to have compromising personal and financial information about Trump, multiple US officials with direct knowledge of the briefings.",Trump,4.0
"To prove how deeply personal she thinks it is, the Wisconsin politician provided her own story: ""For me, I was a child who had a very serious illness and then was labeled as a kid with a pre-existing condition.",she,6.0
"Story highlights Defense Secretary James Mattis announced an advisory panel would make recommendations on implementation of Trump's directive
Transgender troops have been openly serving in the military since June 2016
Washington (CNN) Transgender members of the military will be able to re-enlist for service while President Donald Trump's directive barring transgender recruits is under review, the Pentagon has confirmed.",the Pentagon,4.0
"BASH: I can't believe I'm going to ask you this, but so you're officially saying Ted Cruz is OK with people buying sex toys?",Ted Cruz,2.0
"Hide Caption 7 of 14
Photos: The 2017 Vladimir Putin calendar July -- ""Mankind will be interested to know that we have such riches!",Vladimir Putin,4.0
"Among Democrats and independents, approval ratings for Mueller have not changed significantly.",Mueller,4.0
""" You have to be tough to make it in New York City ,"" de Blasio said in a statement.",""" de Blasio",4.0
"Now the user is apologizing, writing in a lengthy post on Reddit that he does not advocate violence against the press and expressing remorse there and in an interview with CNN for other posts he made that were racist and anti-Semitic.",CNN,4.0
"Two new members of Xi's cabinet, Li Zhanshu and Wang Huning, have strong foreign policy credentials in line with Xi's desire for a more muscular overseas policy.",Xi,6.0
"Noting that North Korea has a history of playing out talks while it pockets concessions -- a hallmark of talks in 1994, 2005 and 2012 -- Harris said he thinks Trump is ""spot on when he says he's not going to wait that long"" and that he'll know within a year ... the seriousness with which Kim Jong Un approaches this deal.""",Kim Jong Un,4.0
"McConnell, who has led the Senate Republicans for a decade, may be one of the most disciplined politicians in America and therefore uniquely suited for the task.",McConnell,6.0
"McConnell, who has led the Senate Republicans for a decade, may be one of the most disciplined politicians in America and therefore uniquely suited for the task.",Senate,6.0
"Thanks to @MayoClinic for its excellent care -- I appreciate your support & look forward to getting back to work! https://t.co/eUkFr7jKYB — John McCain (@SenJohnMcCain) July 16, 2017
Senate Republicans unveiled a revised version of their health care bill Thursday, and GOP leaders had planned a vote, or at least to take the procedural steps toward a vote, in the upcoming week.",John McCain,6.0
"It was her seven-year-old daughter Razia, who was in the hut, that ultimately saved her.",her,4.0
Al Franken: I think Jeff Sessions committed perjury,Jeff Sessions,2.0
Live updates: Michael Bennet CNN town hall,Michael Bennet,4.0
Alexei Navalny says Putin regime is 'built on corruption',Putin,2.0
"But Seibert also took the opportunity to stress that Merkel remained ""a deeply convinced trans-Atlanticist.""",Merkel,4.0
"""Trump's remarks ... will likely boost support for Moon, and if he wins, it will make it harder for the United States to sustain a hardline policy against North Korea.",he,2.0
"He had his whole life in front of him.""",He,6.0
"""He was a devoted husband who talked often of his family.",his family,6.0
"""He was a devoted husband who talked often of his family.",He,6.0
"A man with 'such a bright future'
Taliesin Myrddin Namkai Meche will be remembered as a hero by his family and many in Portland.",Namkai Meche,6.0
"The chief has known Reardon since he was younger and recognized his face, he said.",he,4.0
Ivanka Trump first became close with Merkel during that initial March White House visit.,Merkel,4.0
"Richard Shelby's remarks Sunday morning slamming Moore on CNN's ""State of the Union.""",Moore,2.0
"""They're welcome to come yell and scream,"" Chaffetz said on the Kilmeade and Friends radio program.",""" Chaffetz",4.0
"Then there's lunch with the Queen, and a tour for the first couple of items of historical significance to the United States which are part of the official royal collection.",Queen,4.0
"""Forget that she sometimes wore a diamond crown and that I'd flown to London on a presidential jet; we were two tired ladies oppressed by our shoes,"" Obama recalled.",Obama,4.0
"It would be ironic if Pruitt is dismissed because he accepted discounted rooming, when he should have been fired for discounting the lives of children, here and across the world.",Pruitt,2.0
And why Trump -- and his White House -- would do themselves some good by simply clarifying what actually happened in all of this.,Trump,2.0
And why Trump -- and his White House -- would do themselves some good by simply clarifying what actually happened in all of this.,Trump -- and his White House --,2.0
"And the idea that Cohen was not reimbursed by ""the Trump organization or the Trump campaign"" also hugely strains credulity -- and that's being nice.",Trump,2.0
The officials who spoke to CNN about Zinke's comments worry the reassignments may be a sign that what he said wasn't just a talking point.,Zinke,2.0
Kerry is a longtime senator.,Kerry,4.0
"She hopes to continue her education by pursuing a master's degree abroad, and to keep encouraging others with her example.",She,6.0
"The audit, therefore, has always felt like a veil hiding the real reason Trump didn't want to release the returns: Because they showed a) he wasn't as rich as he said, b) he didn't pay much in taxes, c) the the documents revealed some sort of blatant conflict of interest, or d) some other reason I haven't thought of.",Trump,2.0
Students from Allahabad University joined her along the way.,her,4.0
Vadra began the campaign with a sharp attack on what she called the Modi government’s inability to generate jobs in the country.,Modi,2.0
China's President Xi Jinping (C) waits to meet with Hong Kong's chief executive Leung Chun-ying at a hotel in Hong Kong on June 29.,Leung,4.0
Pence said Flynn did not tell the truth when the two talked about interactions with Kisylak.,Flynn,2.0
"Donaldson is accused of killing Anthony Naiboa, Monica Hoffa, Benjamin Mitchell and Ronald Felton.",Donaldson,2.0
"I am proud to serve alongside him.""",him,6.0
"3) He's basically not ideological
Trump rose to the Republican nomination by pitching himself as a hardline conservative.",He,4.0
"Mark Peterson/Redux for CNN
Tom Perez, chairman for the Democratic National Committee, criticized President Trump in his remarks before tonight's debate.",Perez,4.0
"John Cornyn, the second ranking Republican in the Senate, has asked to be removed from consideration to be the next FBI director, the Texan said in a statement.",FBI,4.0
"But the marriage was short-lived; Trump and Rubicondi separated months later, in December 2008, although they have continued to see each other.",Rubicondi,4.0
"When Durst was accused of shooting Berman to death in 2000 in her Beverly Hills home, prosecutors alleged it was to quiet his close friend and associate.",Durst,2.0
"If true, it means Berman may have helped cover up the disappearance of Kathleen Durst.",Durst,4.0
"Instead, he trained his fire on Trump and Ryan.",he,4.0
-- President Trump's retweet of a Fox News story that appeared to reveal classified information is raising some eyebrows.,President Trump,2.0
"""I would not at all be surprised if one of Hillary's aides has whacked her over the head with a croquet mallet to give her a lump so she can go out in front of the news media and then when she finally does testify, my bold, Hollywood prediction is that she will testify that according to her physicians the part of her brain that contained any memory of what happened at Benghazi was affected by the concussion, end of story, done,"" Wuco said.",Hillary,2.0
"Now that he's about to assume office, the real costs of the ""great, great"" wall Donald Trump promised to build during his campaign are beginning to settle in -- and threaten to divide the President-elect and thrifty Republicans on Capitol Hill.",Donald Trump,2.0
"Now that he's about to assume office, the real costs of the ""great, great"" wall Donald Trump promised to build during his campaign are beginning to settle in -- and threaten to divide the President-elect and thrifty Republicans on Capitol Hill.","the real costs of the ""great, great"" wall Donald Trump",2.0
"Like Mladic, Karadzic had been hiding in plain sight in Serbia.",Karadzic,2.0
"Daniels' friend and fellow adult film actress Alana Evans, who has publicly tried to corroborate Daniels' claims of an affair, also said she will file her own defamation claims by the end of the month.",Daniels',2.0
"President Donald Trump hailed the return of Aya Hijazi, an Egyptian-American aid worker, in the Oval Office on Friday, telling the American charity worker she showed ""great strength"" in her ordeal.",Aya,6.0
"White House press secretary Sean Spicer said Friday that Trump ""directly engaged behind the scenes"" to secure Hijazi's release and raised the issue with Egyptian President Abdel Fattah el-Sisi.",Spicer,4.0
"I always saw him mowing his lawn, and he always tips the mailman,' and so it perpetuates this belief that you can't predict it, that these are just people that snap, that there's no rhyme or reason to it,"" Dubus said.",""" Dubus",4.0
"She then accused Trump of wrapping ""his arms around Putin"" and called for an independent investigation into the President and his associates.",Trump,2.0
"Jimmy Tyndall, 33, is in custody, Sampson County Sheriff Jimmy Thornton told reporters.",Sampson County Sheriff Jimmy Thornton,4.0
Her colleague Christina Clarke started looking through the data and saw the association noted in this study.,Her,4.0
"""Kelly Sadler has been told that there are administration jobs that fit with her skill set and her experience and that the rest is really her choice, what she would like to do next,"" Conway said in an interview Wednesday with CNN's ""New Day.""",Kelly Sadler,6.0
"Neville got him to stop stabbing him,"" said Chief Chris Miller of the Bishop Airport Safety Division, who was nearby during the attack and was able to handcuff Ftouhi.",Ftouhi,2.0
"The Trump administration doubled down Thursday on prioritizing the fight against ISIS over ending the Syrian civil war and getting rid of its main protagonist, President Bashar al-Assad.",Assad,2.0
"In Japan, Abe saw decisive wins for his party in snap elections last month, and Xi emerged from a critical Communist Party Congress having consolidated power in historic fashion.",Abe,6.0
"In Japan, Abe saw decisive wins for his party in snap elections last month, and Xi emerged from a critical Communist Party Congress having consolidated power in historic fashion.",Japan,4.0
"For Trump, a stalwart believer in loyalty who's been taking advice from Flynn for the better part of two years, it was an unpleasant and early entry into the world of West Wing reshuffles.",Flynn,4.0
"""Gateway is one of the very most important infrastructure programs in our country,"" Schumer said.",Schumer,4.0
JUST WATCHED Obama cries seeing Malia off to college Replay More Videos ...,Obama,6.0
JUST WATCHED Obama cries seeing Malia off to college Replay More Videos ...,Malia,6.0
"Whether he knew he was spinning or not, he would create a story that made him look as successful, desirable and tough as possible -- and that often did not comport with the established facts.",he,2.0
"Pence: US 'strongly supports NATO'
Pence arrived at a moment of uncertainty for the White House national security apparatus, which is without a clear leader since Trump fired Gen. Michael Flynn after he misled Pence about his conversations with the Russian ambassador.",Gen. Michael Flynn,2.0
The incident dismayed the vice president while also raising questions about his stature within the administration.,the vice president,2.0
"Speaking on Breitbart radio Thursday morning, Bannon assured a caller that ""nothing will ever come between us and President Trump and his agenda"" adding that ""we're tight on this agenda as we've ever been.",Bannon,4.0
Don't forget that she has weathered numerous crises in the last few years.,she,6.0
"In a June 2018 memo, William Barr reached a decisive and controversial conclusion that Trump's interactions with ex-FBI Director James Comey would not constitute obstruction of justice.",William Barr,2.0
"Trump also used the event to praise North Korean leader Kim Jong Un, telling supporters that Kim will ""turn that country into a great, successful country.""",Kim,6.0
"""What's more important is that we let others know we will stay in a deal as long as it protects the security of the United States,"" Haley said.",Haley,6.0
"Trump had gone off-script, discarding prepared remarks he deemed ""sort of boring,"" and touted the success of his administration's first year.",Trump,2.0
Steve Inskeep talks to former U.S. Attorney Matt Olsen about what Mueller can and can't do.,Steve Inskeep,4.0
"She said it doesn't matter that such information is already part of the public record, describing Castro's tweet as ""some kind of a target list"" designed to make life ""miserable or worse for law-abiding citizens expressing their First Amendment right.""",Castro,2.0
"She said it doesn't matter that such information is already part of the public record, describing Castro's tweet as ""some kind of a target list"" designed to make life ""miserable or worse for law-abiding citizens expressing their First Amendment right.""",it,2.0
But Roger also put out a lot of tweets that were proven to be erroneous.,Roger,2.0
"Browder believes Putin is the richest man in the world, with an assortment of assets worth what Browder estimates to be $200 billion at his disposal, but those assets are ""held all over the world"" including in America.",America,4.0
"Netanyahu At Odds With Trump Over Two-State Solution
Enlarge this image toggle caption Stephanie Keith/Getty Images Stephanie Keith/Getty Images
Days after President Trump explicitly endorsed a two-state solution to the Israeli-Palestinian conflict during a speech at the U.N. General Assembly meeting, Israeli Prime Minister Benjamin Netanyahu tells NPR he disagrees.",Netanyahu,4.0
"A Guatemalan migrant named Sergio recently visited the medical van with his 2-year-old son, Dylan.",Dylan,4.0
"With time, Jane grew into an all-women network with dozens of members, ranging from students to housewives.",Jane,6.0
Erickson is facing federal investment fraud allegations in his home state of South Dakota but has not been charged with any crime related to Butina or their political projects.,Erickson,2.0
"Kim, 43, grew up in Hamhung, North Korea's second-largest city, and studied information technology.",Kim,4.0
"""You would've thought it was Christmas,"" he said.",he,4.0
"I spoke with a special master based in Cleveland, a guy by the name of David Cohen - no relation to the president's personal lawyer.",Cohen,4.0
"""This is a can-do president, who's a business guy, who wants to get things done, and I know that he wants to get things done with a Republican Congress,"" Ryan told CBS.",Ryan,4.0
"""If @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts & reform,"" he tweeted.",he,4.0
"Jay Inslee Says Washington State Is A 'Template For Success' For The U.S.
Enlarge this image toggle caption Karen Ducey/Getty Images Karen Ducey/Getty Images
Washington Gov.",Jay Inslee,6.0
"Indonesia's Presidential Race Shows Islamic Fundamentalism Is Gaining Traction Indonesia, the world's most populous Muslim country, is set to go to the polls Wednesday, when voters will choose between incumbent President Jokowi Widodo and a former Suharto-era general.",incumbent President Jokowi Widodo and a former Suharto-era general,4.0
GREENBERG: Brett Kavanaugh got it wrong for Maryland.,Brett Kavanaugh,2.0
"""I am very vocal in standing up to some of the things that are in our textbooks [or] are said by our teachers that are incorrect or inaccurate,"" she said.",she,6.0
"Federal Reserve Leaves Interest Rates Unchanged For The Time Being NPR's Noel King talks to David Wessell, director of the Hutchins Center at the Brookings Institution, about the Federal Reserve indicating it may cut interest rates in the future.",Noel King,4.0
"Al-Shabab Says It Carried Out Deadly Car Bomb Attack On Somalia Hotel
Enlarge this image toggle caption Farah Abdi Warsameh/AP Farah Abdi Warsameh/AP
Al-Shabab militants have claimed responsibility for deadly explosions that ripped through a hotel in Somalia's capital, Mogadishu, on Wednesday.",Al-Shabab,2.0
"Al-Shabab Says It Carried Out Deadly Car Bomb Attack On Somalia Hotel
Enlarge this image toggle caption Farah Abdi Warsameh/AP Farah Abdi Warsameh/AP
Al-Shabab militants have claimed responsibility for deadly explosions that ripped through a hotel in Somalia's capital, Mogadishu, on Wednesday.",Deadly Car Bomb Attack On Somalia Hotel,2.0
"""I was totally prepared for him to be really angry with me,"" Kelly says.",Kelly,4.0
"Even though their politics are very different (they're Democrats, he's a Republican), they've always gotten along well.",he,6.0
Jamie Raskin Reacts To Special Counsel Robert Mueller's Remarks NPR's Ari Shapiro speaks with Rep.,NPR's Ari Shapiro,4.0
"NPR's Kelly McEvers talks to Michael Elleman, senior fellow for missile defense at the International Institute for Strategic Studies, about a new American missile defense system in South Korea.",Kelly McEvers,4.0
"She's facing a challenge from Republican Josh Hawley, who is the state's attorney general and is closely aligned with President Trump.",President Trump,4.0
"PICCIOLINI: So I was 18 years old, I believe.",PICCIOLINI,4.0
'NYT' Reporter Digs Into Conservative Group's Secret Judicial Training Program NPR's Michel Martin speaks with New York Times' reporter Adam Liptak about his exposé into the Heritage Foundation's Federal Clerkship Training Academy.,New York Times' reporter Adam Liptak,4.0
"NPR's Mary Louise Kelly talks with Anthony Ruzicka, a fifth-generation farmer whose Nebraska farm flooded badly last week.",NPR's Mary Louise Kelly,4.0
"It followed an unusually contentious press conference held by President Trump in the East Room of the White House in which the president called Acosta ""a rude, terrible person.""",Acosta,2.0
"Educator Deirdre Niblock, said there is not a single thing that could stop her from voting in 2020.",Educator Deirdre Niblock,6.0
"Mr. Geller, thanks for being with us.",Mr. Geller,6.0
SIMON: White House brought out all the top national security officials.,SIMON,4.0
SIMON: Are states a lot more active - or maybe I should say proactive - than they were in 2016?,SIMON,4.0
They said they liked his labor background.,his,6.0
They said they liked his labor background.,They,6.0
"Hours after Perez's election, Donald Trump tweeted faux congratulations:
Perez responded hotly:",Trump,2.0
I have President Putin.,President Putin,4.0
"She's living her life, and I am in this place.""",She,4.0
"Federal Chief District Judge Julie Robinson, a George W. Bush appointee, accused Kobach of engaging in ""gamesmanship"" and skirting her orders.",Kobach,2.0
"Federal Chief District Judge Julie Robinson, a George W. Bush appointee, accused Kobach of engaging in ""gamesmanship"" and skirting her orders.",Robinson,4.0
NPR's Ari Shapiro talks to Wall Street Journal reporter Stephanie Armour about her investigation of how many psychiatric hospitals with troubling safety records continue to receive accreditation.,NPR's Ari Shapiro,4.0
"What It Means To 'Decertify' The Iran Deal NPR's Lulu Garcia-Navarro talks to Barbara Slavin of the Atlantic Council about the potential repercussions should President Trump ""decertify"" the Iran nuclear deal.",The Iran Deal NPR's Lulu Garcia-Navarro,4.0
"Burningham, a former financial adviser from Bountiful, Utah, developed serious medical problems 17 years ago. Back in 2001, Burningham offered to donate his stem cells to his sister for a transplant.",Burningham,6.0
"Doctors told Toni and Jim Hoy their young son needed intensive, specialized care away from home — institutional services that cost at least $100,000 a year.",Jim Hoy,4.0
"""I believe it is vital that the President be able to focus on his never-ending tasks with as few distractions as possible,"" Kavanaugh wrote.",Kavanaugh,4.0
President Donald Trump called former President Jimmy Carter for the first time this weekend.,Jimmy Carter,4.0
"ARI SHAPIRO, HOST:
Our next guest says there's no question about what Michigan Democratic Congressman John Conyers should do as he faces sexual harassment charges.",SHAPIRO,4.0
"John Conyers of Detroit, to resign over allegations of sexual misconduct and using public money to settle harassment claims.",John Conyers of Detroit,2.0
"ROBERT SIEGEL, HOST:
Gary Mendell listened to the president's remarks today with special interest.","ROBERT SIEGEL, HOST:
Gary Mendell",4.0
"Goldstein says that while the U.S. Navy maintains a big technological advantage over China's, China has been closing the gap.",Goldstein,4.0
Clinton co-wrote the book with best-selling author James Patterson.,Clinton,6.0
"The agency says Gene Levoff used prior knowledge of earnings to buy and sell millions of dollars in Apple stock, even as he was responsible for overseeing compliance with rules on insider trading.",Levoff,2.0
James Kirchick: Who Benefits From Unrestricted Free Speech?,James Kirchick: Who Benefits From Unrestricted Free Speech,4.0
The principal met with her and some of her classmates.,her,4.0
"Her new article, ""The Case Of Al Franken,"" investigates the allegations against him of sexual misconduct.",Al Franken,2.0
"Clayton says having a simple, portable test could help explore that issue.",Clayton,6.0
"Enlarge this image toggle caption Shawn Poynter for NPR Shawn Poynter for NPR
""Wow, these people really paved the way for us to do this for these kids,"" Covington says.",Shawn Poynter,4.0
"But if there is a face for this that comes next, it may be that of the deputy attorney general, who's kind of been the public facing person for the special counsel investigation or maybe the attorney general, Mr. Barr, because he's the one whose name is on this letter to the leaders of the judiciary committees saying this is what Mueller has found.",Mueller,4.0
This is the country that he was elected to govern in 2013.,the country,4.0
"Toombs says if the law suit is successful, he'll use the money to fund a scholarship and other veterans' causes.",Toombs,6.0
"Turner's efforts to persuade the officers to explain what had happened included exclamations of ""Shame on you,"" ""I'm disappointed in you"" and more name-dropping.",Turner,2.0
"Which is to say: She efficiently makes her case, like the prosecutor she is.",She,6.0
"Tweeden's accusation against Franken came two days after a House hearing on what was described as a pervasive problem of sexual misconduct in Congress, and as Republicans urged Alabama Senate candidate Roy Moore to drop out of the race after numerous allegations of sexual misconduct, including assault, when his accusers were mostly teenagers.",Franken,2.0
"Azam, now 37, in many ways is an embodiment of the American dream, an example of the drive and thrift that is often praised, at least in the abstract, by Fox hosts and commentators.",Fox,4.0
"Azam, now 37, in many ways is an embodiment of the American dream, an example of the drive and thrift that is often praised, at least in the abstract, by Fox hosts and commentators.",Azam,6.0
"Under former Journal editor Gerard Baker, Azam says, even the news coverage of the Trump administration's initial Muslim ban ""seemed to be aimed at shaping the narrative for the White House, to move away from talking about the fact that religion was being targeted.""",Azam,4.0
"I was trying to think of an analogy of Donald Trump hiring Rudy Giuliani as his lawyer, and all I can think of is, like, the Flying Wallendas hiring P.T. Barnum.",Rudy Giuliani,2.0
And what's going to be interesting is how Americans interpret that because Trump's constituency were people who were often working but were very frustrated at how low their income was or that they had been falling behind.,Trump,2.0
"Neil Gorsuch Has An Affinity For The English Language
Audio will be available later today.",Neil Gorsuch,6.0
MARTIN: So tell us a bit more about Mr. Wheeler's background - whom you know - and what will he bring to this position.,MARTIN,4.0
He says he supported her for years.,her,6.0
"SIEGEL: Now, Cory, I want you to talk briefly about DeVos' financial holdings, which were also a topic at the hearing.",Cory,4.0
"Trump Disclosed Highly Classified Information To Russian Officials
NPR's Ari Shapiro talks to Greg Miller of The Washington Post about his reporting that President Trump revealed highly classified information to the Russian foreign minister and ambassador last week.",Greg Miller,4.0
"She likes that Bolsonaro, who's Catholic, is a fierce opponent of education in schools about sexuality and gender diversity.",Bolsonaro,2.0
"""The group lowered him down quickly and, you know, break his neck,"" Stevens says.",Stevens,4.0
